Review_ID,Review_Text,Sentiment
522,Excellent service and fast delivery. Highly recommend!,Positive
738,"Terrible experience, the product broke after a week.",Negative
741,"Neutral feelings about this product, it's just average.",Neutral
661,This is the best purchase I've made this year!,Positive
412,"The product is okay, but nothing special.",Neutral
679,"Terrible experience, the product broke after a week.",Negative
627,Not satisfied with the quality. It feels cheap.,Negative
514,I love this product! It has changed my life.,Positive
860,Not satisfied with the quality. It feels cheap.,Negative
137,"The product is okay, but nothing special.",Neutral
812,"Terrible experience, the product broke after a week.",Negative
77,"The product is okay, but nothing special.",Neutral
637,Not satisfied with the quality. It feels cheap.,Negative
974,"Terrible experience, the product broke after a week.",Negative
939,This is the best purchase I've made this year!,Positive
900,I wouldn't recommend this to my friends. Poor performance.,Negative
281,I love this product! It has changed my life.,Positive
884,Not satisfied with the quality. It feels cheap.,Negative
762,This is the best purchase I've made this year!,Positive
320,"Terrible experience, the product broke after a week.",Negative
550,Amazing quality and great value for the price!,Positive
175,"The product is okay, but nothing special.",Neutral
372,"The product is okay, but nothing special.",Neutral
528,I love this product! It has changed my life.,Positive
211,"Neutral feelings about this product, it's just average.",Neutral
236,Excellent service and fast delivery. Highly recommend!,Positive
102,Amazing quality and great value for the price!,Positive
987,Amazing quality and great value for the price!,Positive
903,"Terrible experience, the product broke after a week.",Negative
948,Excellent service and fast delivery. Highly recommend!,Positive
347,"The product is okay, but nothing special.",Neutral
140,Not satisfied with the quality. It feels cheap.,Negative
622,The item arrived late and was damaged. Very disappointed.,Negative
500,"Neutral feelings about this product, it's just average.",Neutral
371,Not satisfied with the quality. It feels cheap.,Negative
199,Excellent service and fast delivery. Highly recommend!,Positive
688,This is the best purchase I've made this year!,Positive
585,Excellent service and fast delivery. Highly recommend!,Positive
902,I love this product! It has changed my life.,Positive
60,"Terrible experience, the product broke after a week.",Negative
329,Amazing quality and great value for the price!,Positive
97,"Neutral feelings about this product, it's just average.",Neutral
313,Excellent service and fast delivery. Highly recommend!,Positive
975,"Neutral feelings about this product, it's just average.",Neutral
300,I wouldn't recommend this to my friends. Poor performance.,Negative
278,Amazing quality and great value for the price!,Positive
925,This is the best purchase I've made this year!,Positive
602,"Neutral feelings about this product, it's just average.",Neutral
440,I wouldn't recommend this to my friends. Poor performance.,Negative
838,The item arrived late and was damaged. Very disappointed.,Negative
571,"The product is okay, but nothing special.",Neutral
880,"The product is okay, but nothing special.",Neutral
262,"The product is okay, but nothing special.",Neutral
579,The item arrived late and was damaged. Very disappointed.,Negative
24,Excellent service and fast delivery. Highly recommend!,Positive
31,This is the best purchase I've made this year!,Positive
618,I wouldn't recommend this to my friends. Poor performance.,Negative
11,The item arrived late and was damaged. Very disappointed.,Negative
222,"Terrible experience, the product broke after a week.",Negative
821,I wouldn't recommend this to my friends. Poor performance.,Negative
297,"Terrible experience, the product broke after a week.",Negative
55,Excellent service and fast delivery. Highly recommend!,Positive
543,Amazing quality and great value for the price!,Positive
210,Not satisfied with the quality. It feels cheap.,Negative
605,The item arrived late and was damaged. Very disappointed.,Negative
693,The item arrived late and was damaged. Very disappointed.,Negative
663,I wouldn't recommend this to my friends. Poor performance.,Negative
867,Excellent service and fast delivery. Highly recommend!,Positive
71,Not satisfied with the quality. It feels cheap.,Negative
544,I wouldn't recommend this to my friends. Poor performance.,Negative
108,The item arrived late and was damaged. Very disappointed.,Negative
494,This is the best purchase I've made this year!,Positive
591,The item arrived late and was damaged. Very disappointed.,Negative
742,Amazing quality and great value for the price!,Positive
293,I wouldn't recommend this to my friends. Poor performance.,Negative
290,"Terrible experience, the product broke after a week.",Negative
653,Excellent service and fast delivery. Highly recommend!,Positive
40,This is the best purchase I've made this year!,Positive
590,I wouldn't recommend this to my friends. Poor performance.,Negative
308,Amazing quality and great value for the price!,Positive
680,Not satisfied with the quality. It feels cheap.,Negative
67,"The product is okay, but nothing special.",Neutral
276,I love this product! It has changed my life.,Positive
68,This is the best purchase I've made this year!,Positive
319,This is the best purchase I've made this year!,Positive
549,The item arrived late and was damaged. Very disappointed.,Negative
999,Not satisfied with the quality. It feels cheap.,Negative
715,"Neutral feelings about this product, it's just average.",Neutral
754,I wouldn't recommend this to my friends. Poor performance.,Negative
328,Excellent service and fast delivery. Highly recommend!,Positive
383,This is the best purchase I've made this year!,Positive
452,The item arrived late and was damaged. Very disappointed.,Negative
523,The item arrived late and was damaged. Very disappointed.,Negative
219,"Neutral feelings about this product, it's just average.",Neutral
788,"The product is okay, but nothing special.",Neutral
437,"Terrible experience, the product broke after a week.",Negative
765,Not satisfied with the quality. It feels cheap.,Negative
89,Not satisfied with the quality. It feels cheap.,Negative
64,Not satisfied with the quality. It feels cheap.,Negative
827,The item arrived late and was damaged. Very disappointed.,Negative
717,"Neutral feelings about this product, it's just average.",Neutral
352,"The product is okay, but nothing special.",Neutral
937,This is the best purchase I've made this year!,Positive
257,"Neutral feelings about this product, it's just average.",Neutral
636,The item arrived late and was damaged. Very disappointed.,Negative
645,"Terrible experience, the product broke after a week.",Negative
555,Not satisfied with the quality. It feels cheap.,Negative
960,"Neutral feelings about this product, it's just average.",Neutral
169,"Terrible experience, the product broke after a week.",Negative
918,The item arrived late and was damaged. Very disappointed.,Negative
529,"Terrible experience, the product broke after a week.",Negative
824,Excellent service and fast delivery. Highly recommend!,Positive
986,"Neutral feelings about this product, it's just average.",Neutral
817,I wouldn't recommend this to my friends. Poor performance.,Negative
87,This is the best purchase I've made this year!,Positive
433,The item arrived late and was damaged. Very disappointed.,Negative
185,This is the best purchase I've made this year!,Positive
979,Not satisfied with the quality. It feels cheap.,Negative
535,I love this product! It has changed my life.,Positive
295,Excellent service and fast delivery. Highly recommend!,Positive
893,"Neutral feelings about this product, it's just average.",Neutral
426,The item arrived late and was damaged. Very disappointed.,Negative
714,Not satisfied with the quality. It feels cheap.,Negative
261,I love this product! It has changed my life.,Positive
238,Amazing quality and great value for the price!,Positive
560,,Negative
584,I love this product! It has changed my life.,Positive
446,This is the best purchase I've made this year!,Positive
868,Not satisfied with the quality. It feels cheap.,Negative
801,I love this product! It has changed my life.,Positive
600,I wouldn't recommend this to my friends. Poor performance.,Negative
